season,datasource,age_group,metric,point_estimate,ci_lower,ci_upper,n_states
2023-2024,nssp,all_ages,median_outside_fraction,0.05936920222634509,0.05237808549066827,0.06551724137931035,51
2024-2025,nssp,all_ages,median_outside_fraction,0.07671721677074042,0.06715210355987056,0.08445297504798464,51
2025-2026,nssp,all_ages,median_outside_fraction,0.16447368421052633,0.15087719298245617,0.1841620626151013,51
2023-2024,nssp,all_ages,median_coverage_baseline_oct_mar,0.940630797773655,0.9344827586206899,0.9476219145093314,51
2023-2024,nssp,all_ages,median_coverage_early_sep_mar,0.9573293172690764,0.9523809523809523,0.9655172413793102,51
2023-2024,nssp,all_ages,median_coverage_late_oct_apr,0.9634482758620692,0.9570354457572502,0.9657215404147269,51
2024-2025,nssp,all_ages,median_coverage_baseline_oct_mar,0.9232827832292595,0.9155470249520156,0.9328478964401296,51
2024-2025,nssp,all_ages,median_coverage_early_sep_mar,0.9311981020166075,0.9203069657615107,0.9401574803149606,51
2024-2025,nssp,all_ages,median_coverage_late_oct_apr,0.9630522088353416,0.9591463414634146,0.9691689008042895,51
2025-2026,nssp,all_ages,median_coverage_baseline_oct_mar,0.8355263157894737,0.8158379373848988,0.849122807017544,51
2025-2026,nssp,all_ages,median_coverage_early_sep_mar,0.8443438914027147,0.8222836095764273,0.8562500000000002,51
2025-2026,nssp,all_ages,median_coverage_late_oct_apr,0.9317106152805948,0.9245283018867924,0.94283476898982,51
