window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
baseline_oct_mar,2024-2025,Alabama,833.0,766.0,0.9195678271308524,0.08043217286914761,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,Alabama,833.0,766.0,0.9195678271308524,0.08043217286914761,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,Alabama,833.0,795.0,0.9543817527010804,0.04561824729891961,"Pediatric RSV hospital admissions, ages 0-4"
extended_sep_apr,2024-2025,Alabama,833.0,795.0,0.9543817527010804,0.04561824729891961,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2024-2025,Alaska,175.0,164.0,0.9371428571428572,0.06285714285714283,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,Alaska,175.0,164.0,0.9371428571428572,0.06285714285714283,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,Alaska,175.0,173.0,0.9885714285714285,0.011428571428571455,"Pediatric RSV hospital admissions, ages 0-4"
extended_sep_apr,2024-2025,Alaska,175.0,173.0,0.9885714285714285,0.011428571428571455,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2024-2025,Arizona,1817.0,1769.0,0.9735828288387451,0.02641717116125486,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,Arizona,1817.0,1769.0,0.9735828288387451,0.02641717116125486,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,Arizona,1817.0,1802.0,0.9917446340121079,0.008255365987892116,"Pediatric RSV hospital admissions, ages 0-4"
extended_sep_apr,2024-2025,Arizona,1817.0,1802.0,0.9917446340121079,0.008255365987892116,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2024-2025,Arkansas,352.0,304.0,0.8636363636363636,0.13636363636363635,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,Arkansas,352.0,304.0,0.8636363636363636,0.13636363636363635,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,Arkansas,352.0,328.0,0.9318181818181818,0.06818181818181823,"Pediatric RSV hospital admissions, ages 0-4"
extended_sep_apr,2024-2025,Arkansas,352.0,328.0,0.9318181818181818,0.06818181818181823,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2024-2025,California,4425.0,4195.0,0.9480225988700565,0.051977401129943535,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,California,4425.0,4195.0,0.9480225988700565,0.051977401129943535,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,California,4425.0,4353.0,0.9837288135593221,0.01627118644067793,"Pediatric RSV hospital admissions, ages 0-4"
extended_sep_apr,2024-2025,California,4425.0,4353.0,0.9837288135593221,0.01627118644067793,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2024-2025,Colorado,1890.0,1727.0,0.9137566137566138,0.08624338624338623,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2024-2025,Colorado,1890.0,1727.0,0.9137566137566138,0.08624338624338623,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2024-2025,Colorado,1890.0,1853.0,0.9804232804232804,0.01957671957671958,"Pediatric RSV hospital admissions, ages 0-4"
