season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,metric_label
2024-2025,Alabama,1017.0,905.0,112.0,0.11012782694198624,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Alaska,191.0,178.0,13.0,0.06806282722513089,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Arizona,2122.0,2062.0,60.0,0.02827521206409048,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Arkansas,381.0,329.0,52.0,0.13648293963254593,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,California,5179.0,4910.0,269.0,0.05194052905966403,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Colorado,2095.0,1918.0,177.0,0.08448687350835322,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Connecticut,599.0,585.0,14.0,0.02337228714524207,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Delaware,592.0,573.0,19.0,0.03209459459459459,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,District of Columbia,33.0,32.0,1.0,0.030303030303030304,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Florida,3926.0,3454.0,472.0,0.12022414671421294,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Georgia,2294.0,2209.0,85.0,0.037053182214472534,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Hawaii,288.0,254.0,34.0,0.11805555555555555,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Idaho,518.0,479.0,39.0,0.07528957528957529,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Illinois,2751.0,2628.0,123.0,0.04471101417666303,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Indiana,1478.0,1399.0,79.0,0.05345060893098782,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Iowa,735.0,684.0,51.0,0.06938775510204082,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Kansas,599.0,568.0,31.0,0.05175292153589316,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Kentucky,1090.0,993.0,97.0,0.0889908256880734,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Louisiana,1121.0,1064.0,57.0,0.05084745762711865,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Maine,162.0,148.0,14.0,0.08641975308641975,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Maryland,859.0,825.0,34.0,0.03958090803259604,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Massachusetts,1804.0,1717.0,87.0,0.048226164079822616,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Michigan,2872.0,2717.0,155.0,0.05396935933147632,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Minnesota,1551.0,1449.0,102.0,0.06576402321083172,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Mississippi,588.0,554.0,34.0,0.05782312925170068,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Missouri,1286.0,1152.0,134.0,0.104199066874028,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Montana,339.0,285.0,54.0,0.1592920353982301,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Nebraska,622.0,575.0,47.0,0.07556270096463022,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Nevada,718.0,685.0,33.0,0.04596100278551532,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Hampshire,223.0,214.0,9.0,0.04035874439461883,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Jersey,2355.0,2271.0,84.0,0.035668789808917196,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New Mexico,1029.0,973.0,56.0,0.05442176870748299,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,New York,4911.0,4689.0,222.0,0.04520464263897373,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,North Carolina,2497.0,2355.0,142.0,0.056868241890268324,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,North Dakota,268.0,232.0,36.0,0.13432835820895522,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Ohio,3669.0,3486.0,183.0,0.04987735077677841,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Oklahoma,799.0,776.0,23.0,0.028785982478097622,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Oregon,864.0,822.0,42.0,0.04861111111111111,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Pennsylvania,4473.0,4216.0,257.0,0.05745584618824055,"Pediatric RSV hospital admissions, all pediatric"
