season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,metric_label
2024-2025,Alabama,2247.0,2056.0,191.0,0.08500222518914108,"RSV hospital admissions, all ages"
2024-2025,Alaska,418.0,371.0,47.0,0.11244019138755981,"RSV hospital admissions, all ages"
2024-2025,Arizona,4753.0,4475.0,278.0,0.0584893751314959,"RSV hospital admissions, all ages"
2024-2025,Arkansas,1311.0,1171.0,140.0,0.10678871090770405,"RSV hospital admissions, all ages"
2024-2025,California,12047.0,11222.0,825.0,0.06848177969618992,"RSV hospital admissions, all ages"
2024-2025,Colorado,3428.0,3056.0,372.0,0.10851808634772463,"RSV hospital admissions, all ages"
2024-2025,Connecticut,1849.0,1744.0,105.0,0.05678745267712277,"RSV hospital admissions, all ages"
2024-2025,Delaware,1039.0,999.0,40.0,0.03849855630413859,"RSV hospital admissions, all ages"
2024-2025,District of Columbia,134.0,131.0,3.0,0.022388059701492536,"RSV hospital admissions, all ages"
2024-2025,Florida,11200.0,10001.0,1199.0,0.10705357142857143,"RSV hospital admissions, all ages"
2024-2025,Georgia,5273.0,5055.0,218.0,0.041342689171249766,"RSV hospital admissions, all ages"
2024-2025,Hawaii,510.0,445.0,65.0,0.12745098039215685,"RSV hospital admissions, all ages"
2024-2025,Idaho,989.0,871.0,118.0,0.11931243680485339,"RSV hospital admissions, all ages"
2024-2025,Illinois,7647.0,7095.0,552.0,0.07218517065515889,"RSV hospital admissions, all ages"
2024-2025,Indiana,3470.0,3223.0,247.0,0.07118155619596542,"RSV hospital admissions, all ages"
2024-2025,Iowa,1577.0,1334.0,243.0,0.15409004438807863,"RSV hospital admissions, all ages"
2024-2025,Kansas,1417.0,1283.0,134.0,0.09456598447424136,"RSV hospital admissions, all ages"
2024-2025,Kentucky,2751.0,2429.0,322.0,0.11704834605597965,"RSV hospital admissions, all ages"
2024-2025,Louisiana,2626.0,2500.0,126.0,0.04798172124904798,"RSV hospital admissions, all ages"
2024-2025,Maine,371.0,322.0,49.0,0.1320754716981132,"RSV hospital admissions, all ages"
2024-2025,Maryland,2265.0,2127.0,138.0,0.060927152317880796,"RSV hospital admissions, all ages"
2024-2025,Massachusetts,4559.0,4180.0,379.0,0.08313226584777364,"RSV hospital admissions, all ages"
2024-2025,Michigan,8120.0,7229.0,891.0,0.10972906403940887,"RSV hospital admissions, all ages"
2024-2025,Minnesota,3282.0,2933.0,349.0,0.10633759902498477,"RSV hospital admissions, all ages"
2024-2025,Mississippi,1214.0,1145.0,69.0,0.05683690280065898,"RSV hospital admissions, all ages"
2024-2025,Missouri,3289.0,2865.0,424.0,0.12891456369717239,"RSV hospital admissions, all ages"
2024-2025,Montana,714.0,556.0,158.0,0.22128851540616246,"RSV hospital admissions, all ages"
2024-2025,Nebraska,1161.0,1007.0,154.0,0.1326442721791559,"RSV hospital admissions, all ages"
2024-2025,Nevada,1271.0,1190.0,81.0,0.06372934697088907,"RSV hospital admissions, all ages"
2024-2025,New Hampshire,642.0,591.0,51.0,0.0794392523364486,"RSV hospital admissions, all ages"
2024-2025,New Jersey,6204.0,5848.0,356.0,0.05738233397807866,"RSV hospital admissions, all ages"
2024-2025,New Mexico,1454.0,1345.0,109.0,0.0749656121045392,"RSV hospital admissions, all ages"
2024-2025,New York,12616.0,11828.0,788.0,0.06246036778693722,"RSV hospital admissions, all ages"
2024-2025,North Carolina,6450.0,6032.0,418.0,0.06480620155038759,"RSV hospital admissions, all ages"
2024-2025,North Dakota,474.0,383.0,91.0,0.19198312236286919,"RSV hospital admissions, all ages"
2024-2025,Ohio,7169.0,6671.0,498.0,0.06946575533547217,"RSV hospital admissions, all ages"
2024-2025,Oklahoma,1975.0,1857.0,118.0,0.05974683544303797,"RSV hospital admissions, all ages"
2024-2025,Oregon,2109.0,1922.0,187.0,0.08866761498340446,"RSV hospital admissions, all ages"
2024-2025,Pennsylvania,15090.0,13668.0,1422.0,0.09423459244532803,"RSV hospital admissions, all ages"
2024-2025,Rhode Island,774.0,731.0,43.0,0.05555555555555555,"RSV hospital admissions, all ages"
2024-2025,South Carolina,2846.0,2662.0,184.0,0.0646521433591005,"RSV hospital admissions, all ages"
2024-2025,South Dakota,489.0,383.0,106.0,0.2167689161554192,"RSV hospital admissions, all ages"
2024-2025,Tennessee,3415.0,3201.0,214.0,0.06266471449487555,"RSV hospital admissions, all ages"
2024-2025,Texas,13730.0,13003.0,727.0,0.052949745083758194,"RSV hospital admissions, all ages"
2024-2025,Utah,2293.0,2123.0,170.0,0.07413868294810293,"RSV hospital admissions, all ages"
2024-2025,Vermont,213.0,183.0,30.0,0.14084507042253522,"RSV hospital admissions, all ages"
2024-2025,Virginia,2456.0,2307.0,149.0,0.06066775244299674,"RSV hospital admissions, all ages"
